Sec,RollNo,Dept,Aptitude_Score,Mock_Interview_Score,Problems_Solved,Hackathon_Count,Technical_Test_Score,Resume_Score,Projects_Count,Placement_Probabilities,Placement_Readiness
A,21IT1004,IT,43,57,145,6,53,91,0,48.85,Not Ready
A,21CS1005,CSE,56,73,104,1,92,81,0,52.86,Not Ready
C,21CS1006,ECE,64,89,348,0,70,40,0,59.02,Not Ready
D,21EE1007,EEE,72,80,403,8,56,79,1,71.44,Ready
A,21EC1008,ECE,80,57,137,1,50,81,3,51.36,Not Ready
D,21EC1009,ME,43,44,34,3,81,53,0,39.21,Not Ready
B,21ME1010,EEE,55,81,339,7,60,78,2,65.81,Not Ready
C,21CS1011,ME,76,67,124,2,51,90,5,55.34,Not Ready
A,21IT1012,ME,55,60,246,8,80,50,7,62.22,Not Ready
C,21EC1013,CSE,47,53,241,9,55,90,7,60.26,Not Ready
D,21EC1014,CSE,47,54,216,8,97,55,6,60.64,Not Ready
C,21IT1015,IT,97,71,358,2,77,66,4,70.57,Ready
D,21EE1016,IT,95,98,140,4,97,83,1,71.68,Ready
D,21ME1017,EEE,66,51,176,5,82,51,1,53.46,Not Ready
B,21EC1018,CSE,46,88,159,6,47,40,5,53.34,Not Ready
C,21EC1019,CSE,82,58,140,8,81,67,3,62.33,Not Ready
D,21ME1020,EEE,92,61,266,7,90,91,4,73.34,Ready
C,21ME1021,EEE,66,63,310,6,53,88,0,60.95,Not Ready
C,21EC1022,EEE,87,60,310,4,66,87,4,66.9,Not Ready
C,21ME1023,IT,90,56,183,3,69,72,2,58.32,Not Ready
C,21ME1024,IT,60,83,464,3,80,57,2,69.11,Not Ready
A,21IT1025,IT,68,91,408,2,46,62,3,65.1,Not Ready
D,21ME1026,EEE,58,44,154,1,72,50,6,47.11,Not Ready
C,21IT1027,EEE,71,45,97,4,66,81,2,50.33,Not Ready
A,21CS1028,IT,52,43,485,2,57,57,0,54.65,Not Ready
A,21ME1029,ME,68,97,246,0,94,59,4,65.34,Not Ready
B,21IT1030,ECE,46,48,29,4,62,79,5,44.28,Not Ready
B,21CS1031,CSE,70,69,324,3,92,66,5,67.28,Not Ready
C,21ME1032,CSE,80,89,314,6,94,41,0,70.56,Ready
B,21ME1033,CSE,93,73,9,2,98,76,4,60.36,Not Ready
A,21EE1034,ME,92,93,271,4,95,91,0,75.19,Ready
D,21EC1035,EEE,49,68,459,1,87,84,5,67.34,Not Ready
C,21EE1036,ECE,82,59,191,2,44,91,2,54.79,Not Ready
B,21ME1037,CSE,53,40,168,3,71,49,2,45.12,Not Ready
D,21EE1038,IT,86,84,362,3,86,43,7,73.05,Ready
A,21EE1039,ME,73,58,484,2,72,53,5,66.78,Not Ready
B,21ME1040,ME,89,93,260,8,83,77,0,74.95,Ready
C,21EC1041,CSE,42,68,365,5,44,86,3,58.68,Not Ready
B,21CS1042,CSE,84,74,5,9,67,63,3,59.02,Not Ready
C,21ME1043,EEE,88,79,410,9,43,57,1,71.58,Ready
C,21ME1044,EEE,60,82,130,1,52,62,6,52.35,Not Ready
B,21IT1045,IT,66,65,114,7,93,63,4,60.51,Not Ready
C,21CS1046,ECE,69,46,245,1,41,93,6,53,Not Ready
C,21ME1047,EEE,75,51,347,0,90,52,1,58.4,Not Ready
C,21EC1048,ME,63,44,27,1,50,89,0,39.88,Not Ready
D,21CS1049,ECE,53,92,118,4,97,68,4,61.57,Not Ready
C,21IT1050,EEE,43,47,110,1,89,45,1,41.88,Not Ready
B,21CS1051,ECE,66,98,300,1,84,97,7,72.48,Ready
C,21IT1052,ECE,78,72,6,1,40,90,5,49.36,Not Ready
C,21ME1053,ECE,75,44,313,7,79,98,4,67.47,Not Ready
C,21ME1054,IT,71,85,207,2,45,91,3,59.21,Not Ready
D,21CS1055,ECE,83,50,291,9,48,88,3,65.11,Not Ready
C,21EC1056,ME,69,52,3,4,99,44,4,50.07,Not Ready
A,21EE1057,ME,63,94,326,4,57,82,5,68.32,Not Ready
B,21CS1058,ME,67,68,134,3,63,88,5,56.74,Not Ready
B,21EE1059,EEE,55,57,446,8,70,77,2,67.69,Not Ready
D,21ME1060,IT,54,92,92,3,67,84,4,56.83,Not Ready
A,21EC1061,CSE,99,85,366,2,86,47,7,75.42,Ready
B,21CS1062,IT,43,50,275,3,98,72,0,54.5,Not Ready
A,21EE1063,ECE,52,85,368,3,56,83,4,64.32,Not Ready
B,21CS1064,EEE,93,85,215,7,42,56,0,63.1,Not Ready
D,21CS1065,ME,60,61,359,4,85,76,1,63.54,Not Ready
B,21EC1066,CSE,81,42,139,2,75,64,4,52.31,Not Ready
D,21EE1067,IT,83,75,192,5,75,78,6,67.08,Not Ready
D,21ME1068,CSE,92,72,0,8,74,50,2,58.15,Not Ready
C,21ME1069,ECE,54,87,426,7,86,67,4,74.34,Ready
A,21ME1070,ME,52,91,19,1,92,68,3,52.84,Not Ready
D,21IT1071,EEE,58,41,268,8,99,63,5,62.8,Not Ready
A,21IT1072,EEE,91,93,11,4,43,98,5,60.61,Not Ready
B,21EC1073,CSE,50,83,280,9,85,84,4,70.45,Ready
A,21EE1074,EEE,94,83,138,9,40,62,2,63.37,Not Ready
C,21EE1075,CSE,47,46,345,9,82,93,4,65.5,Not Ready
B,21IT1076,IT,54,67,18,7,93,69,0,52.77,Not Ready
B,21IT1077,IT,47,63,100,2,97,58,4,50.85,Not Ready
C,21IT1078,IT,62,95,160,8,91,48,5,67.38,Not Ready
A,21EC1079,ECE,67,67,0,3,43,68,6,46.8,Not Ready
A,21CS1080,ME,83,96,165,3,82,84,7,70.48,Ready
B,21CS1081,ECE,46,56,446,4,64,49,7,61.12,Not Ready
B,21CS1082,ECE,83,96,181,6,88,44,4,69.14,Not Ready
C,21EE1083,IT,89,62,388,3,76,45,5,67.74,Not Ready
A,21CS1084,CSE,62,66,240,3,45,95,1,55.08,Not Ready
A,21EC1085,ECE,86,84,448,8,45,97,4,78.87,Ready
A,21IT1086,IT,65,95,378,8,89,68,7,79.64,Ready
C,21EE1087,ME,93,92,495,6,54,77,7,82.98,Ready
C,21CS1088,ME,88,54,35,9,70,42,4,56,Not Ready
B,21IT1089,EEE,98,58,184,8,40,99,3,64.34,Not Ready
D,21EE1090,ECE,94,56,80,6,67,90,5,61.38,Not Ready
D,21ME1091,EEE,50,48,331,9,64,79,7,63.72,Not Ready
B,21EC1092,CSE,93,57,54,7,53,66,3,55.58,Not Ready
B,21EC1093,ME,74,68,184,1,42,94,2,53.71,Not Ready
D,21EC1094,EEE,53,75,12,2,77,84,6,51.78,Not Ready
B,21EC1095,CSE,86,66,317,1,52,77,5,62.7,Not Ready
D,21EC1096,IT,53,84,494,5,71,55,2,69.56,Not Ready
A,21CS1097,ECE,69,48,483,4,91,46,3,66.84,Not Ready
A,21CS1098,CSE,47,74,467,3,86,78,0,66.58,Not Ready
A,21ME1099,EEE,82,86,286,7,98,93,4,78.54,Ready
A,21EE1100,CSE,40,74,111,5,44,87,3,49.42,Not Ready
C,21CS1101,CSE,94,74,365,9,77,64,6,78.9,Ready
C,21EC1102,ME,80,72,59,2,81,94,7,60.68,Not Ready
A,21IT1103,IT,90,59,213,4,79,58,7,64.34,Not Ready
B,21IT1104,ECE,70,81,265,8,93,48,2,68.8,Not Ready
A,21EE1105,IT,99,84,379,8,60,53,5,77.18,Ready
B,21ME1106,IT,85,89,16,6,88,79,6,66.29,Not Ready
C,21ME1107,ME,93,84,362,7,77,72,4,78.13,Ready
D,21CS1108,ECE,94,64,94,5,87,61,3,61.38,Not Ready
C,21ME1109,IT,90,41,429,2,88,57,2,65.51,Not Ready
D,21ME1110,CSE,92,92,19,3,73,52,0,56.71,Not Ready
B,21EC1111,EEE,68,74,186,5,61,87,7,63.07,Not Ready
A,21IT1112,EEE,59,71,262,7,91,98,3,68.81,Not Ready
D,21CS1113,ECE,81,75,478,7,95,56,7,81.54,Ready
D,21ME1114,EEE,58,57,231,1,46,90,5,52.26,Not Ready
A,21ME1115,CSE,79,46,4,2,93,69,5,51.14,Not Ready
B,21IT1116,EEE,59,79,203,8,40,64,3,58,Not Ready
A,21EE1117,ME,44,41,308,5,40,44,0,44.72,Not Ready
A,21CS1118,ECE,96,49,148,8,48,43,4,56.92,Not Ready
C,21ME1119,ECE,71,55,437,9,65,69,2,69.58,Not Ready
B,21CS1120,EEE,60,74,457,2,74,58,3,65.86,Not Ready
D,21CS1121,ME,80,87,74,6,98,79,1,65.59,Not Ready
A,21EE1122,ME,82,58,96,4,60,41,2,50.19,Not Ready
C,21ME1123,EEE,48,72,351,6,52,94,0,61.24,Not Ready
D,21CS1124,ECE,50,94,142,1,46,41,4,48.98,Not Ready
A,21ME1125,IT,82,74,389,7,79,97,1,75.94,Ready
A,21ME1126,ECE,84,95,148,0,97,72,4,65.97,Not Ready
B,21EC1127,EEE,96,97,8,4,74,65,0,60.52,Not Ready
A,21EE1128,IT,61,69,298,5,44,90,1,59.14,Not Ready
D,21CS1129,IT,95,72,167,1,52,60,5,58,Not Ready
D,21CS1130,CSE,48,68,13,5,62,50,5,46.14,Not Ready
C,21ME1131,ECE,95,50,459,3,99,80,1,73.83,Ready
A,21CS1132,EEE,75,63,277,1,93,89,0,62.53,Not Ready
D,21EC1133,ME,87,97,58,0,94,55,3,60.6,Not Ready
B,21EC1134,ME,71,71,157,3,46,68,7,55.76,Not Ready
D,21IT1135,ME,43,47,69,2,80,47,7,43.84,Not Ready
A,21CS1136,EEE,49,87,476,9,79,43,1,72.02,Ready
A,21CS1137,ME,85,63,8,1,51,46,1,43.8,Not Ready
B,21EE1138,ECE,86,72,457,8,54,64,4,74.88,Ready
A,21ME1139,ECE,88,64,322,7,77,98,2,72.88,Ready
A,21EE1140,ECE,61,97,443,1,89,93,4,75.47,Ready
B,21EC1141,IT,66,76,286,7,47,64,1,60.92,Not Ready
D,21CS1142,CSE,49,81,379,8,43,77,5,66.44,Not Ready
A,21CS1143,CSE,79,85,403,0,41,64,2,62.72,Not Ready
C,21EE1144,EEE,87,95,160,5,50,98,7,69.48,Not Ready
A,21EE1145,EEE,92,95,493,3,55,76,3,77.84,Ready
A,21IT1146,CSE,45,45,479,2,63,96,7,62.58,Not Ready
B,21IT1147,IT,54,69,120,0,83,98,4,54.15,Not Ready
B,21IT1148,ME,56,91,19,2,46,83,2,48.61,Not Ready
B,21EE1149,ECE,59,82,295,2,68,72,2,60.65,Not Ready
B,21ME1150,EEE,89,59,293,9,93,85,1,73.4,Ready
A,21EE1151,ECE,42,62,251,3,75,96,7,59.07,Not Ready
C,21EC1152,IT,56,65,409,5,55,79,7,66.09,Not Ready
D,21CS1153,CSE,93,51,416,8,52,98,3,72.92,Ready
C,21ME1154,EEE,94,98,219,4,92,93,1,74.89,Ready
C,21CS1155,ECE,82,42,388,0,91,79,7,66.24,Not Ready
B,21ME1156,CSE,82,55,316,1,44,89,4,59.04,Not Ready
A,21ME1157,ME,42,72,320,0,77,52,6,56.1,Not Ready
A,21EC1158,ME,49,55,338,8,44,76,0,56.52,Not Ready
A,21EC1159,EEE,79,92,121,6,64,97,3,66.22,Not Ready
D,21EC1160,ME,47,86,13,0,57,74,3,44.94,Not Ready
C,21CS1161,CSE,88,91,484,5,65,65,3,78.28,Ready
D,21EC1162,IT,72,72,74,2,86,68,6,57.21,Not Ready
D,21ME1163,IT,63,42,190,1,70,70,1,47.72,Not Ready
C,21CS1164,EEE,88,55,86,7,49,87,7,59.46,Not Ready
D,21ME1165,CSE,79,62,73,5,67,53,0,51.47,Not Ready
B,21IT1166,ECE,88,55,159,9,59,59,5,61.84,Not Ready
C,21CS1167,ME,99,84,164,9,52,64,5,69.48,Not Ready
C,21ME1168,EEE,99,78,381,4,86,69,4,76.94,Ready
C,21ME1169,ME,81,78,15,5,45,41,3,50.12,Not Ready
C,21CS1170,IT,52,60,341,2,75,72,7,60.86,Not Ready
A,21IT1171,CSE,52,68,190,1,41,62,7,49.32,Not Ready
D,21CS1172,CSE,87,84,90,6,87,75,1,64.97,Not Ready
D,21EC1173,ECE,75,47,224,3,63,88,6,58.36,Not Ready
D,21EC1174,CSE,52,42,398,2,43,68,3,51.84,Not Ready
C,21EC1175,CSE,80,55,141,1,89,81,2,56.34,Not Ready
D,21EE1176,ECE,48,78,271,8,78,44,5,63.27,Not Ready
D,21IT1177,ME,73,45,217,8,97,91,1,64.56,Not Ready
C,21CS1178,EEE,69,78,247,9,46,89,1,64.7,Not Ready
D,21EE1179,EEE,88,90,496,9,84,87,2,86.99,Ready
C,21IT1180,ECE,72,63,127,8,80,45,5,59.7,Not Ready
C,21ME1181,CSE,97,81,23,3,66,86,0,58.02,Not Ready
C,21CS1182,IT,50,61,256,9,71,82,5,63.42,Not Ready
C,21EC1183,CSE,88,50,15,8,95,41,3,56.42,Not Ready
B,21IT1184,IT,64,90,36,9,62,44,6,58.69,Not Ready
D,21ME1185,ECE,93,62,380,9,81,93,1,77.28,Ready
D,21IT1186,CSE,69,47,235,5,73,64,7,59.32,Not Ready
B,21ME1187,ME,40,65,346,1,82,53,6,57.19,Not Ready
D,21IT1188,CSE,44,98,296,0,43,51,4,54.29,Not Ready
A,21EC1189,CSE,63,79,33,3,70,97,4,55.42,Not Ready
B,21EE1190,IT,56,96,411,7,51,76,5,72.22,Ready
A,21ME1191,ECE,56,49,414,0,59,57,3,53.99,Not Ready
B,21CS1192,EEE,45,76,152,7,68,57,4,55.68,Not Ready
B,21CS1193,ECE,84,89,37,6,40,41,7,56.56,Not Ready
B,21IT1194,ME,42,80,434,8,67,77,3,69.38,Not Ready
D,21EE1195,IT,81,80,141,4,86,81,7,67.22,Not Ready
D,21ME1196,EEE,96,81,242,7,43,87,3,69.1,Not Ready
A,21EE1197,ECE,55,61,302,8,99,46,0,62.73,Not Ready
A,21IT1198,IT,91,96,247,6,92,62,6,77.03,Ready
B,21ME1199,IT,92,97,141,7,82,67,0,69.44,Not Ready
B,21CS1200,EEE,67,93,323,6,57,53,1,65.4,Not Ready
A,21CS1201,ECE,44,57,304,4,99,91,5,63.44,Not Ready
A,21ME1202,EEE,97,97,349,8,69,48,2,77.16,Ready
B,21ME1203,ECE,76,51,101,7,97,51,1,56.72,Not Ready
B,21ME1204,ECE,86,95,383,6,47,58,5,73.5,Ready
B,21CS1205,EEE,69,69,498,7,92,82,1,77.15,Ready
B,21ME1206,ECE,58,98,485,2,60,57,2,68.55,Not Ready
A,21ME1207,IT,75,81,266,5,49,87,6,66.64,Not Ready
C,21EE1208,CSE,69,98,209,9,73,86,2,71.56,Ready
A,21IT1209,EEE,95,73,492,8,51,88,6,81.48,Ready
A,21EE1210,EEE,77,61,473,8,51,76,5,72.9,Ready
C,21IT1211,ECE,65,71,256,8,42,55,7,61.62,Not Ready
C,21IT1212,CSE,56,53,80,1,67,42,1,40.88,Not Ready
D,21IT1213,ME,79,91,119,7,44,53,3,59.54,Not Ready
D,21CS1214,ME,50,43,44,2,69,95,0,42.21,Not Ready
A,21CS1215,IT,63,97,227,1,93,61,7,66.5,Not Ready
A,21ME1216,EEE,43,86,100,7,94,91,0,60,Not Ready
C,21EE1217,EEE,44,58,454,9,41,63,1,60.64,Not Ready
C,21EE1218,ME,85,74,70,4,67,77,4,58.85,Not Ready
D,21ME1219,CSE,47,57,416,7,71,75,5,65.72,Not Ready
D,21EE1220,EEE,95,71,157,2,43,81,5,59.16,Not Ready
C,21ME1221,ME,66,75,121,5,52,68,7,57.02,Not Ready
A,21EC1222,CSE,40,54,88,3,83,49,5,45.79,Not Ready
B,21EE1223,ECE,59,64,67,6,74,48,4,51.68,Not Ready
C,21CS1224,IT,68,74,88,5,71,56,1,53.8,Not Ready
B,21EC1225,EEE,71,98,333,9,65,76,2,74.72,Ready
B,21ME1226,CSE,90,84,277,6,52,67,2,67.63,Not Ready
A,21CS1227,ME,98,50,117,8,88,65,7,66.36,Not Ready
A,21EE1228,CSE,46,62,119,4,92,60,4,52.66,Not Ready
B,21IT1229,EEE,79,57,70,5,66,42,4,51.6,Not Ready
D,21ME1230,EEE,77,98,253,2,58,61,6,65.67,Not Ready
A,21EE1231,ME,40,97,373,3,92,90,3,70,Ready
D,21EE1232,ECE,71,95,53,1,41,84,4,53.37,Not Ready
C,21ME1233,ME,61,91,427,7,76,97,6,79.33,Ready
C,21ME1234,IT,88,94,88,0,94,52,2,60.47,Not Ready
B,21ME1235,EEE,55,82,60,5,75,70,1,53.68,Not Ready
B,21EE1236,IT,83,85,61,9,43,63,4,60.29,Not Ready
C,21EC1237,EEE,54,65,46,2,78,90,0,48.34,Not Ready
C,21IT1238,EEE,61,52,52,6,61,44,4,46.73,Not Ready
B,21EE1239,ME,86,65,319,6,81,43,6,69.16,Not Ready
C,21ME1240,IT,63,65,359,1,64,47,4,57.76,Not Ready
A,21EC1241,ME,63,72,164,4,46,61,2,51.81,Not Ready
A,21IT1242,EEE,89,92,202,1,45,74,3,61.3,Not Ready
D,21EC1243,ME,51,94,137,6,60,90,6,62.23,Not Ready
D,21ME1244,CSE,79,47,93,7,85,42,5,56,Not Ready
B,21IT1245,ECE,44,68,395,6,74,43,0,59.6,Not Ready
A,21EC1246,ECE,72,52,423,2,81,82,0,64.07,Not Ready
B,21EC1247,ECE,84,40,14,7,53,45,3,46.68,Not Ready
D,21EC1248,ECE,99,83,381,5,40,70,1,70.27,Ready
A,21IT1249,CSE,90,66,210,2,93,86,1,64.77,Not Ready
A,21ME1250,ECE,86,91,468,0,42,98,0,70.22,Ready
D,21IT1251,CSE,41,67,274,8,66,69,5,60.48,Not Ready
B,21EC1252,IT,65,94,265,6,76,86,7,72.78,Ready
D,21EC1253,EEE,82,61,219,2,63,47,3,55.39,Not Ready
D,21ME1254,ECE,59,91,303,7,54,71,2,65.57,Not Ready
C,21CS1255,ECE,55,87,370,2,59,51,1,59.78,Not Ready
B,21ME1256,IT,49,80,100,4,50,94,3,52.58,Not Ready
B,21IT1257,CSE,80,53,362,0,59,78,7,62.1,Not Ready
C,21EC1258,ME,54,49,231,1,98,44,7,54.32,Not Ready
A,21EE1259,IT,50,53,111,5,60,81,5,50.27,Not Ready
D,21EC1260,ME,60,99,74,3,96,82,4,62.86,Not Ready
D,21CS1261,ECE,49,91,120,0,73,52,6,52.7,Not Ready
B,21CS1262,ME,45,56,102,5,73,67,0,46.93,Not Ready
B,21ME1263,ECE,59,83,157,5,42,57,4,54.18,Not Ready
B,21EE1264,EEE,48,97,413,7,80,63,6,74.57,Ready
A,21IT1265,EEE,55,80,462,4,90,78,3,72.66,Ready
A,21ME1266,CSE,98,79,128,1,94,89,6,68.27,Not Ready
D,21EC1267,EEE,55,92,280,1,61,83,6,62.8,Not Ready
C,21EE1268,ECE,60,61,85,9,79,75,4,58.45,Not Ready
B,21EC1269,CSE,50,41,205,8,72,80,4,55.7,Not Ready
C,21EE1270,CSE,78,58,181,3,72,47,7,57.32,Not Ready
D,21EE1271,IT,82,81,61,2,98,82,7,64.32,Not Ready
D,21EE1272,ME,50,97,104,2,42,45,6,50.11,Not Ready
C,21IT1273,EEE,79,44,303,0,72,75,0,55.02,Not Ready
B,21EE1274,ECE,51,87,23,1,68,74,7,51.5,Not Ready
D,21ME1275,ECE,93,46,475,9,80,78,6,79.35,Ready
D,21CS1276,CSE,75,89,416,9,57,87,6,79.44,Ready
B,21EE1277,ME,74,78,339,7,66,61,3,68.84,Not Ready
D,21IT1278,CSE,89,74,394,6,73,82,0,73.51,Ready
D,21EC1279,EEE,55,77,447,0,40,48,5,58.2,Not Ready
C,21EE1280,ECE,83,77,25,3,49,51,1,49.08,Not Ready
A,21CS1281,IT,73,91,112,2,65,49,6,57.68,Not Ready
D,21IT1282,ECE,49,41,269,4,58,78,4,51.76,Not Ready
D,21IT1283,CSE,58,76,3,8,94,69,2,57.17,Not Ready
C,21EC1284,EEE,71,97,336,9,52,68,2,71.89,Ready
A,21EE1285,ME,73,68,102,3,90,61,3,56.76,Not Ready
A,21ME1286,CSE,89,95,32,3,44,51,2,54.03,Not Ready
C,21EE1287,ME,90,42,198,1,58,56,6,53.37,Not Ready
D,21IT1288,ECE,70,75,413,7,43,55,6,68.22,Not Ready
B,21EE1289,CSE,46,50,64,2,84,78,5,47.29,Not Ready
C,21ME1290,IT,53,69,83,5,44,67,7,50.4,Not Ready
C,21ME1291,EEE,48,87,409,2,54,52,7,63.04,Not Ready
A,21IT1292,CSE,47,48,82,3,62,95,5,47.2,Not Ready
C,21CS1293,ECE,74,94,321,3,52,58,5,66.17,Not Ready
B,21IT1294,IT,64,75,495,5,91,45,5,73.88,Ready
C,21ME1295,IT,43,83,422,2,50,78,1,60,Not Ready
C,21ME1296,IT,61,96,411,1,58,94,6,70.69,Ready
A,21EE1297,CSE,85,70,408,5,98,51,6,75.87,Ready
B,21EC1298,CSE,43,96,427,4,93,62,3,70.9,Ready
B,21ME1299,IT,96,48,85,7,86,60,4,60.6,Not Ready
D,21CS1300,ECE,65,47,130,2,94,69,5,53.72,Not Ready
A,21IT1301,CSE,83,44,139,4,97,45,7,58.39,Not Ready
B,21ME1302,IT,95,92,60,1,73,76,3,61.22,Not Ready
B,21EE1303,CSE,75,55,469,0,46,79,2,60.81,Not Ready
C,21EE1304,ECE,79,63,348,2,41,67,6,60.92,Not Ready
D,21EC1305,ME,78,46,466,6,54,89,2,67.69,Not Ready
A,21IT1306,ME,41,50,324,9,85,70,7,64.28,Not Ready
B,21ME1307,CSE,58,74,71,5,99,45,2,54.84,Not Ready
D,21EC1308,ECE,78,53,90,7,46,57,2,50.65,Not Ready
A,21CS1309,EEE,63,82,179,9,91,60,6,68.56,Not Ready
C,21ME1310,ECE,89,90,411,5,79,42,2,74.54,Ready
B,21EC1311,IT,72,54,201,6,85,87,4,63.19,Not Ready
D,21CS1312,ECE,51,49,19,0,77,76,7,44.28,Not Ready
A,21EE1313,ECE,73,71,262,2,57,72,4,59.53,Not Ready
B,21IT1314,CSE,88,48,397,1,58,51,4,60.38,Not Ready
A,21IT1315,IT,69,77,436,5,83,60,2,71.34,Ready
C,21CS1316,IT,67,55,341,3,83,84,7,66.26,Not Ready
C,21ME1317,ME,92,99,215,9,93,75,7,81.62,Ready
D,21IT1318,ECE,75,95,158,6,56,50,7,64.1,Not Ready
D,21IT1319,EEE,59,96,175,2,93,78,5,64.88,Not Ready
B,21CS1320,CSE,75,93,267,8,94,58,0,72.18,Ready
D,21CS1321,CSE,53,74,203,8,52,97,0,59.02,Not Ready
B,21EE1322,CSE,70,64,160,9,85,67,5,64.78,Not Ready
A,21CS1323,ECE,95,90,40,3,48,52,3,55.88,Not Ready
B,21CS1324,CSE,51,85,382,8,65,70,5,70.36,Ready
C,21EC1325,ECE,53,50,178,7,90,41,0,52.32,Not Ready
C,21ME1326,EEE,92,58,203,8,54,47,0,58.92,Not Ready
D,21EC1327,IT,61,69,48,9,46,59,0,49.72,Not Ready
C,21CS1328,ME,81,88,195,3,52,72,3,61.47,Not Ready
B,21EE1329,ECE,43,83,363,6,67,49,4,63.17,Not Ready
A,21ME1330,EEE,70,83,245,2,94,95,1,66.62,Not Ready
C,21EC1331,IT,66,48,54,6,47,89,7,51.28,Not Ready
C,21EC1332,EEE,90,94,384,6,93,94,3,83.38,Ready
B,21ME1333,EEE,75,64,223,9,83,69,4,67.57,Not Ready
B,21CS1334,ME,91,84,5,0,62,62,4,53.2,Not Ready
B,21ME1335,CSE,46,86,417,3,52,93,3,65.05,Not Ready
B,21EC1336,ME,41,66,122,9,40,47,3,47.86,Not Ready
A,21IT1337,ME,72,44,0,1,71,57,4,43.05,Not Ready
B,21ME1338,IT,58,42,242,9,45,55,2,52.18,Not Ready
D,21EE1339,EEE,73,71,421,1,92,64,7,71.22,Ready
A,21EC1340,ECE,57,99,92,7,58,46,1,55.8,Not Ready
A,21EC1341,CSE,41,93,80,7,85,48,7,58.92,Not Ready
D,21IT1342,EEE,49,72,363,5,44,75,1,58.44,Not Ready
C,21IT1343,ECE,95,85,38,3,90,67,5,63.85,Not Ready
D,21IT1344,EEE,85,86,362,0,60,73,7,69.36,Not Ready
C,21IT1345,ECE,44,46,412,6,73,70,1,59.06,Not Ready
B,21CS1346,ME,79,46,295,3,86,57,0,58.4,Not Ready
C,21ME1347,IT,73,55,429,1,60,84,4,63.66,Not Ready
D,21EE1348,ECE,48,45,306,5,74,45,3,53.32,Not Ready
A,21EE1349,ME,46,47,34,3,64,84,7,45.34,Not Ready
D,21EC1350,ME,88,92,103,6,68,91,1,66.04,Not Ready
B,21CS1351,ECE,48,59,124,1,52,81,4,45.76,Not Ready
B,21EC1352,EEE,81,59,438,3,70,85,4,70.02,Ready
B,21EE1353,IT,81,52,129,2,74,52,2,51.31,Not Ready
D,21ME1354,CSE,85,89,171,1,41,58,2,55.84,Not Ready
B,21CS1355,IT,63,86,127,5,61,77,5,59.86,Not Ready
C,21CS1356,IT,40,70,212,9,75,84,6,62.88,Not Ready
B,21EE1357,ECE,47,42,215,4,72,99,4,53.6,Not Ready
A,21EC1358,ECE,56,92,17,0,80,76,1,50.5,Not Ready
B,21ME1359,ECE,53,44,381,8,68,87,2,62.79,Not Ready
C,21CS1360,IT,53,48,309,1,41,63,7,50.39,Not Ready
D,21EC1361,ME,84,59,14,2,67,55,3,48.58,Not Ready
A,21CS1362,CSE,74,56,313,2,62,91,0,58.92,Not Ready
D,21EC1363,IT,61,74,376,1,46,97,0,59.64,Not Ready
C,21IT1364,IT,87,97,462,8,83,70,4,85.23,Ready
D,21EC1365,CSE,72,65,313,8,40,47,5,61.74,Not Ready
C,21EE1366,IT,77,84,481,5,75,94,7,81.46,Ready
C,21ME1367,CSE,67,62,365,3,49,77,6,62.2,Not Ready
C,21CS1368,EEE,96,55,431,0,43,40,0,57.89,Not Ready
B,21EC1369,ME,49,68,222,1,52,48,4,48.38,Not Ready
C,21EE1370,CSE,65,84,479,9,86,61,6,80.71,Ready
B,21ME1371,ME,99,89,245,9,47,69,3,72.23,Ready
B,21EC1372,ME,54,67,282,3,94,48,1,58.01,Not Ready
D,21EC1373,ECE,91,48,295,7,93,80,1,69.18,Not Ready
D,21CS1374,CSE,43,73,107,9,88,68,1,57.1,Not Ready
C,21IT1375,IT,53,41,223,5,57,79,7,53.54,Not Ready
D,21CS1376,ME,92,68,150,2,85,48,6,61.3,Not Ready
A,21IT1377,ME,58,62,357,0,68,67,0,55.18,Not Ready
D,21ME1378,ME,52,67,20,0,96,48,1,44.42,Not Ready
C,21CS1379,ME,81,66,160,4,65,69,1,57.08,Not Ready
D,21EE1380,CSE,73,77,228,7,92,90,3,70.8,Ready
D,21EE1381,ME,79,61,236,5,44,83,7,61.72,Not Ready
C,21EE1382,EEE,98,97,383,9,56,63,5,81.14,Ready
B,21EE1383,CSE,57,99,159,2,81,64,2,59.36,Not Ready
D,21IT1384,ECE,93,58,206,9,44,91,1,63.77,Not Ready
B,21EC1385,EEE,69,44,50,8,88,57,7,55.88,Not Ready
D,21ME1386,ECE,98,46,337,6,98,85,0,71.48,Ready
B,21EE1387,CSE,41,56,252,7,78,92,7,61.76,Not Ready
D,21ME1388,ECE,48,89,296,3,64,59,7,62.12,Not Ready
D,21CS1389,ME,70,43,482,4,78,58,0,63.38,Not Ready
B,21IT1390,ECE,81,50,78,3,54,94,7,54.2,Not Ready
C,21IT1391,EEE,61,55,185,2,66,59,1,49.02,Not Ready
D,21IT1392,CSE,73,97,121,2,89,78,6,65.74,Not Ready
A,21EC1393,ECE,65,79,494,9,88,85,7,83.64,Ready
D,21EC1394,ECE,78,94,488,0,52,99,1,72.24,Ready
A,21IT1395,ME,94,70,98,1,85,72,4,60.17,Not Ready
A,21EC1396,IT,90,96,321,5,78,59,4,75.14,Ready
A,21ME1397,CSE,65,52,299,8,82,70,3,64.54,Not Ready
B,21ME1398,ECE,40,81,197,6,92,48,5,59.8,Not Ready
